query,case_title,case_url
Article 8,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 8,"Section 5 in The Citizenship Act, 1955
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1600992/
Article 8,"British Airways Plc. vs Dy. Cit on 24 September, 2001",https://indiankanoon.org/docfragment/920349/?formInput=Article%208
Article 8,"State Of West Bengal vs Brindaban Chandra Pramanik And Anr. on 24 July, 1956",https://indiankanoon.org/docfragment/1819442/?formInput=Article%208
Article 8,"Sree Murugan Financing Corporation ... vs The State Of Tamil Nadu Reptd. By The ... on 20 March, 1985",https://indiankanoon.org/docfragment/1038852/?formInput=Article%208
Article 8,"Commissioner Of Income-Tax, Bombay ... vs J.B. Advani Oerlikon Electrodes Pvt. ... on 11 November, 1976",https://indiankanoon.org/docfragment/1612590/?formInput=Article%208
Article 9,"Article 9 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/260256/
Article 9,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 9,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 9,"P.V. Narasimha Rao vs State(Cbi/Spe) on 17 April, 1998",https://indiankanoon.org/docfragment/45852197/?formInput=Article%209
Article 9,"A.P. Moller, Maersk Agency India Pvt. ... vs Dcit, Special Range 31 on 27 January, 2003",https://indiankanoon.org/docfragment/1674452/?formInput=Article%209
Article 9,"M/S. Honda Cars India Ltd., Uttar ... vs Dcit (Ltu), New Delhi on 18 August, 2017",https://indiankanoon.org/docfragment/21058559/?formInput=Article%209
Article 9,"T.A. Mahomed Usman vs State Of Madras Represented By Secy. To ... on 17 November, 1959",https://indiankanoon.org/docfragment/1506246/?formInput=Article%209
Article 9,"State Of West Bengal vs Brindaban Chandra Pramanik And Anr. on 24 July, 1956",https://indiankanoon.org/docfragment/1819442/?formInput=Article%209
Article 9,"Mitsubishi Corporation India Pvt. ... vs Dcit, Circle- 16(2), New Delhi on 22 September, 2017",https://indiankanoon.org/docfragment/122427784/?formInput=Article%209
Article 9,"Eco Maritime Ventures Ltd vs Ing Bank Nv on 27 June, 2016",https://indiankanoon.org/docfragment/54155741/?formInput=Article%209
Article 10,"Indra Sawhney Etc. Etc vs Union Of India And Others, Etc. Etc. on 16 November, 1992",https://indiankanoon.org/docfragment/1363234/?formInput=Article%2010
Article 10,"Article 10 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/492977/
Article 10,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 10,"THE CONSTITUTION (SEVENTH AMENDMENT) ACT, 1956",https://indiankanoon.org/doc/156973329/
Article 10,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 10,"Devidas Ramachandra Tuljapurkar vs State Of Maharashtra & Ors on 14 May, 2015",https://indiankanoon.org/docfragment/69910146/?formInput=Article%2010
Article 10,"Ministry Of Defence, Government Of ... vs Cenrex Sp. Z.O.O & Ors. on 8 December, 2015",https://indiankanoon.org/docfragment/26155961/?formInput=Article%2010
Article 10,"Constituent Assembly Debates On 30 November, 1948 Part I",https://indiankanoon.org/docfragment/766061/?formInput=Article%2010
Article 10,"Jaipur Vidyut Vitran Nigam Ltd. vs Adani Power Rajasthan Ltd. on 31 August, 2020",https://indiankanoon.org/docfragment/32145461/?formInput=Article%2010
Article 10,"State Of West Bengal vs Brindaban Chandra Pramanik And Anr. on 24 July, 1956",https://indiankanoon.org/docfragment/1819442/?formInput=Article%2010
Article 11,"Article 11 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1678224/
Article 11,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 11,"Begum Aftab Zamani vs Lal Chand Khanna on 31 May, 1968",https://indiankanoon.org/docfragment/1388408/?formInput=Article%2011
